Order_ID,Customer_ID,Order_Date,Region,City,Sales_Channel,Customer_Segment,Age,Category,Subcategory,Quantity,Unit_Price,Total_Sales,Cost,Profit,Payment_Method,Satisfaction,Delivery_Date
ORD-9061-007040,CUST_00973,2024-01-29,West,Ahmedabad,Marketplace,Consumer,54.0,Furniture,,6.0,40267.47,241604.82,154558.66,87046.16,UPI,4.1,2024-02-01
ORD-11721-009700,CUST_01069,2022-04-15,Central,Nagpur,Online,Small Business,30.0,Office Supplies,Organizers,4.0,1310.04,5240.16,2644.64,2333.5,Credit Card,3.7,2022-04-22
ORD-4870-002849,CUST_00163,2025-02-12,East,Kolkata,Marketplace,Small Business,33.0,Home Appliances,Cooling,3.0,48452.96,145358.88,73958.46,49596.59,Credit Card,3.4,2025-02-14
ORD-9725-007704,CUST_00534,2022-09-06,South,Hyderabad,Store,Small Business,28.0,Furniture,Desks,6.0,10918.25,65509.5,33335.9,32173.6,Net Banking,4.7,2022-09-09
ORD-11745-009724,CUST_01011,2022-07-06,West,Pune,Store,Consumer,52.0,Office Supplies,Organizers,10.0,164.51,1645.1,1073.98,406.6,Credit Card,3.9,2022-07-10
ORD-3246-001225,CUST_01097,2024-01-13,South,Hyderabad,Store,Corporate,37.0,Furniture,Chairs,3.0,23676.64,71029.92,53139.55,17890.36,Credit Card,4.9,2024-01-15
ORD-8627-006606,CUST_00789,2022-10-15,North,Chandigarh,Online,Consumer,32.0,Electronics,Accessories,1.0,29464.86,29464.86,18483.37,6561.76,Debit Card,3.1,2022-10-16
ORD-7004-004983,CUST_01089,2024-01-23,West,Ahmedabad,Phone,Consumer,40.0,Furniture,Desks,12.0,16147.35,193768.2,100595.32,73796.04,Net Banking,3.7,2024-01-26
ORD-11698-009677,CUST_00371,2025-05-29,Central,Indore,Online,Consumer,43.0,office supplies,Fitness,3.0,7102.64,21307.92,11726.87,5319.46,UPI,4.1,2025-06-03
ORD-6442-004421,CUST_00728,2024-10-29,North,Jaipur,Marketplace,Consumer,38.0,Home Appliances,Cooling,10.0,28261.42,282614.2,174696.35,79656.45,Net Banking,5.0,2024-10-31
ORD-9836-007815,CUST_00885,2022-02-05,,Chennai,Online,Consumer,28.0,Home Appliances,Cleaning,1.0,37990.44,37990.44,24108.38,10083.02,Credit Card,-4.8,2022-02-12
ORD-10949-008928,CUST_01179,2022-12-08,North,Chandigarh,Online,Consumer,31.0,Office Supplies,Pens,3.0,506.44,1519.32,626.21,589.26,UPI,3.2,2022-12-11
ORD-10491-008470,CUST_00642,2022-05-10,North,Jaipur,Store,Small Business,34.0,Electronics,Phones,3.0,34095.59,102286.77,88614.72,13672.05,Debit Card,3.2,2022-05-14
ORD-4313-002292,CUST_00916,2023-07-20,South,Chennai,E Commerce,Corporate,50.0,Electronics,Laptops,3.0,57721.49,173164.47,104331.31,68833.17,UPI,3.9,2023-07-25
ORD-6033-004012,CUST_00775,2024-08-24,South,Bengaluru,Store,Consumer,32.0,Office Supplies,Binders,5.0,2341.87,11709.35,8961.85,2162.02,Wallet,4.1,2024-08-26
ORD-2677-000656,CUST_01031,2023-10-06,North,Jaipur,Phone,Consumer,45.0,Beauty,Personal Care,3.0,382.63,1147.89,789.0,358.88,UPI,4.3,2023-10-10
ORD-7393-005372,CUST_00247,2022-09-19,South,Chennai,Online,Corporate,39.0,Clothing,Men,5.0,10758.66,53793.3,28408.94,25384.36,Credit Card,3.3,2022-09-22
ORD-9872-007851,CUST_00744,2023-08-28,South,Bengaluru,Online,Corporate,49.0,Office Supplies,Pens,2.0,2444.65,4889.3,2793.11,1118.34,Net Banking,4.0,2023-09-04
ORD-6706-004685,CUST_01073,2022-03-08,West,Ahmedabad,Online,Consumer,51.0,Office Supplies,Pens,3.0,1294.03,3882.09,1742.84,974.63,UPI,2.5,2022-03-11
ORD-2461-000440,CUST_00848,2023-09-02,North,Jaipur,Store,Corporate,53.0,Electronics,,1.0,81482.61,81482.61,45111.14,28223.21,UPI,4.2,2023-09-05
ORD-9678-007657,CUST_01194,2024-10-09,,,Online,Corporate,29.0,Clothing,Women,1.0,6448.82,6448.82,5044.27,1404.56,Credit Card,3.9,2024-10-13
ORD-2055-000034,CUST_00021,2023-09-10,Central,Nagpur,Online,Corporate,33.0,Furniture,Chairs,1.0,16019.42,16019.42,9701.18,3114.35,UPI,3.7,2023-09-13
ORD-3705-001684,CUST_01017,2024-01-22,Central,Nagpur,Phone,Small Business,31.0,Beauty,Haircare,12.0,5217.61,62611.32,52019.8,7460.91,Wallet,2.3,2024-01-26
ORD-2540-000519,CUST_00019,2022-05-24,Central,Indore,Marketplace,Consumer,33.0,,Haircare,8.0,4550.23,36401.84,18691.32,14070.31,UPI,4.0,2022-05-27
ORD-6198-004177,CUST_00340,2025-06-13,East,Guwahati,Online,Consumer,41.0,Office Supplies,Organizers,1.0,205.06,205.06,151.19,53.87,Credit Card,2.9,2025-06-14
ORD-11183-009162,CUST_00807,2023-03-10,West,Ahmedabad,Online,Consumer,21.0,Grocery,Packaged Food,6.0,863.18,5179.08,3763.51,1415.55,,4.3,2023-03-11
ORD-6882-004861,CUST_01045,2024-12-04,West,Ahmedabad,Phone,Consumer,6.0,Electronics,Accessories,2.0,684638.5,1369277.0,40198.45,11834.08,Credit Card,3.2,2024-12-07
ORD-7879-005858,CUST_00321,2025-01-06,Central,Jaipur,Store,Small Business,25.0,Beauty,Haircare,5.0,5944.45,29722.25,16763.57,9986.47,UPI,unknown,2025-01-08
ORD-8591-006570,CUST_00429,2023-09-20,East,Guwahati,Online,Corporate,30.0,Electronics,Laptops,1.0,44562.93,44562.93,17584.98,18065.36,UPI,4.2,2023-09-24
ORD-7080-005059,CUST_00127,2023-04-23,East,Bhubaneswar,Online,Consumer,30.0,Grocery,Beverages,4.0,2028.09,8112.36,4136.85,3164.27,UPI,4.3,2023-04-27
ORD-9227-007206,CUST_00854,2023-05-07,North,Jaipur,Online,Consumer,20.0,Office Supplies,Binders,5.0,1943.02,9715.1,5319.47,4395.61,UPI,4.0,2023-05-12
ORD-11239-009218,CUST_00145,2025-02-17,Central,Bhopal,Marketplace,Corporate,30.0,Office Supplies,Pens,6.0,2018.13,12108.78,6216.3,4681.6,Cash,3.8,2025-02-24
ORD-7898-005877,CUST_00740,2023-12-23,Central,Nagpur,Online,Consumer,26.0,Office Supplies,Binders,6.0,942.82,5656.92,4394.47,696.78,Credit Card,3.4,2023-12-27
ORD-2612-000591,CUST_01173,2025-01-22,North,Chandigarh,Online,Consumer,40.0,Furniture,Chairs,1.0,21635.24,21635.24,12148.14,8405.35,Cash,2.0,2025-01-26
ORD-10318-008297,CUST_00333,2023-02-03,West,Pune,Marketplace,Consumer,54.0,office supplies,Women,5.0,7473.29,37366.45,28981.88,8384.58,UPI,2.8,
ORD-4544-002523,CUST_00118,2024-10-25,South,Hyderabad,Online,Small Business,38.0,Home Appliances,Cooling,1.0,31196.45,31196.45,19264.17,11932.28,UPI,2.8,2024-10-26
ORD-4129-002108,CUST_00487,2024-10-31,Central,Indore,Store,,24.0,Office Supplies,Binders,2.0,1106.52,2213.04,1183.92,1029.11,UPI,3.4,
ORD-5503-003482,CUST_01055,2024-02-24,East,Guwahati,Online,Small Business,40.0,Furniture,Tables,4.0,24624.65,98498.6,72862.86,25635.72,Wallet,3.8,2024-02-25
ORD-3797-001776,CUST_00823,2023-09-29,South,Bengaluru,Online,Consumer,48.0,,Accessories,12.0,65706.59,788479.08,434917.63,195865.67,Wallet,5.0,2023-09-30
ORD-2604-000583,CUST_01174,2023-05-23,East,Kolkata,Online,Consumer,46.0,Office Supplies,,2.0,1717.52,3435.04,2238.81,852.73,Credit Card,4.1,2023-05-25
ORD-7980-005959,CUST_00329,2022-09-07,West,Pune,Store,Corporate,26.0,electronics,Footwear,2.0,4766.29,9532.58,4929.51,2696.56,Debit Card,4.0,2022-09-14
ORD-2954-000933,CUST_00090,2024-05-14,Central,Bhopal,Marketplace,Small Business,38.0,Furniture,Desks,5.0,16602.2,83011.0,49989.96,16418.84,Cash,3.4,2024-05-24
ORD-4258-002237,CUST_00727,2025-06-19,Central,Bhopal,Phone,Corporate,40.0,Clothing,Women,4.0,10391.0,41564.0,30284.97,5044.44,,4.2,
ORD-10567-008546,CUST_00899,2022-10-14,East,Kolkata,Online,Consumer,22.0,Electronics,Laptops,1.0,79374.82,79374.82,60287.39,19087.43,Wallet,2.9,2022-10-18
ORD-2129-000108,CUST_00279,2024-06-15,West,Pune,Marketplace,Consumer,31.0,Furniture,Storage,4.0,4439.08,17756.32,11632.88,1684.35,Cash,4.6,2024-06-29
ORD-3639-001618,CUST_00568,2022-02-03,,Ahmedabad,Marketplace,,28.0,Office Supplies,Paper,8.0,1849.37,14794.96,12003.27,2791.71,Wallet,1.8,2022-02-13
ORD-2726-000705,CUST_00957,2023-07-21,North,Chandigarh,Online,Small Business,34.0,Beauty,Haircare,1.0,6783.52,6783.52,5447.65,996.69,Debit Card,5.0,2023-07-25
ORD-5451-003430,CUST_01180,2023-07-01,East,Bhubaneswar,Online,Corporate,36.0,Grocery,Beverages,8.0,672.49,5379.92,4057.99,783.94,UPI,4.3,2023-07-11
ORD-10558-008537,CUST_01147,2024-10-06,North,Chandigarh,Marketplace,Consumer,22.0,Electronics,Audio,1.0,48064.26,48064.26,24705.99,23358.27,Credit Card,-3.0,2024-10-07
ORD-9901-007880,CUST_00427,2023-02-07,North,Jaipur,Store,Small Business,34.0,Beauty,Personal Care,2.0,3222.66,6445.32,3803.82,2319.23,Credit Card,4.9,2023-02-09
ORD-11670-009649,CUST_01112,2022-12-03,East,Guwahati,Online,Consumer,31.0,Furniture,Tables,10.0,21697.03,216970.3,136012.97,48411.76,Cash,3.7,2022-12-06
ORD-2368-000347,CUST_00217,2022-05-01,West,Ahmedabad,Online,Consumer,55.0,Grocery,Snacks,1.0,2094.46,2094.46,1600.79,493.66,Credit Card,2.4,2022-05-04
ORD-9085-007064,CUST_00968,2025-05-01,West,Pune,Online,Consumer,59.0,Home appliances,Outdoor,3.0,17652.6,52957.8,44119.6,8838.21,Credit Card,2.2,2025-05-03
ORD-3905-001884,CUST_00506,2024-05-23,West,Ahmedabad,Phone,Small Business,13.0,Clothing,Kids,12.0,11466.5,137598.0,63175.51,67542.56,,2.3,2024-05-24
ORD-3617-001596,CUST_00012,2022-09-26,East,Bhubaneswar,Online,Consumer,23.0,Electronics,Accessories,6.0,83674.95,502049.7,342004.34,109840.38,Wallet,4.5,2022-09-27
ORD-5401-003380,CUST_00203,2022-03-24,West,Mumbai,Online,Small Business,15.0,Electronics,Phones,1.0,27107.79,27107.79,14069.14,7617.09,Credit Card,4.1,2022-03-29
ORD-10596-008575,CUST_00963,2025-05-25,Central,Bhopal,Online,Small Business,35.0,Home Appliances,Cooling,1.0,22923.09,22923.09,11194.36,10582.58,Debit Card,3.5,2025-06-01
ORD-5690-003669,CUST_00071,2023-03-07,North,Jaipur,Online,Consumer,43.0,Clothing,Footwear,5.0,527.63,2638.15,1123.67,854.94,Credit Card,4.8,2023-03-14
ORD-9104-007083,CUST_00592,2023-02-12,East,Kolkata,Online,Consumer,50.0,Office Supplies,Pens,4.0,1133.35,4533.4,2454.56,1852.17,Credit Card,4.0,2023-02-13
ORD-7539-005518,CUST_00682,2022-07-18,West,Mumbai,Online,Small Business,31.0,Electronics,Audio,3.0,57808.11,173424.33,79898.52,67512.15,Cash,3.1,2022-07-20
ORD-4840-002819,CUST_01144,2022-08-19,North,Jaipur,Online,Corporate,40.0,Office Supplies,Organizers,6.0,2160.6,12963.6,6490.36,6473.24,Credit Card,4.7,2022-08-21
ORD-4788-002767,CUST_00993,2024-09-16,East,Guwahati,Marketplace,Consumer,49.0,Electronics,Laptops,2.0,36995.32,73990.64,47298.67,26691.98,UPI,3.5,2024-09-20
ORD-11371-009350,CUST_00388,2022-11-26,Central,Nagpur,Store,Consumer,16.0,Electronics,Laptops,3.0,86527.43,259582.29,136826.85,109776.32,Wallet,4.5,2022-11-30
ORD-9344-007323,CUST_01097,2024-01-23,East,Guwahati,Marketplace,Small Business,51.0,Beauty,Cosmetics,1.0,5995.03,5995.03,2740.81,2954.47,Credit Card,3.9,2024-01-30
ORD-2118-000097,CUST_00270,2023-03-13,East,Bhubaneswar,Store,Corporate,4.0,Office Supplies,Pens,3.0,2389.05,7167.15,4973.31,760.4,UPI,3.9,2023-03-16
ORD-2343-000322,CUST_01075,2025-05-14,West,,Marketplace,Consumer,37.0,Office Supplies,Pens,3.0,1454.8,4364.4,2433.01,1931.4,Cash,4.1,2025-05-17
ORD-6655-004634,CUST_00896,2023-07-04,Central,Indore,,Consumer,44.0,Furniture,Tables,2.0,18195.39,36390.78,17605.13,15146.57,Debit Card,4.4,2023-07-07
ORD-10573-008552,CUST_00766,2022-09-01,North,Jaipur,Store,Consumer,58.0,Electronics,Laptops,1.0,577.01,577.01,342.52,176.79,Credit Card,4.7,2022-09-08
ORD-2326-000305,CUST_00983,2023-10-19,,Pune,Online,Small Business,30.0,Sports,Outdoor,1.0,17633.59,17633.59,7311.89,5031.62,Net Banking,4.5,2023-10-22
ORD-9875-007854,CUST_00287,2022-04-16,South,Hyderabad,,Small Business,42.0,Furniture,Chairs,3.0,2639.85,7919.55,5029.19,1306.44,UPI,3.3,2022-04-21
ORD-2554-000533,CUST_01082,2023-06-22,Central,Nagpur,Store,Consumer,54.0,Office Supplies,Pens,3.0,1416.85,4250.55,2987.37,838.13,UPI,3.8,2023-06-29
ORD-6494-004473,CUST_01102,2025-06-10,South,Bengaluru,Online,Corporate,48.0,Grocery,Staples,5.0,1051.97,5259.85,4128.31,868.55,Wallet,5.0,2025-06-13
ORD-3093-001072,CUST_01075,2022-02-24,South,Chennai,Store,Consumer,35.0,office supplies,Women,4.0,7971.16,31884.64,16192.6,15692.04,Net Banking,3.2,2022-02-26
ORD-10981-008960,CUST_00105,2024-10-13,Central,Nagpur,Online,Small Business,33.0,Beauty,Cosmetics,6.0,4613.64,27681.84,12948.69,13349.04,UPI,4.2,2024-10-16
ORD-7373-005352,CUST_01009,2025-06-02,WEST,Bhopal,Online,Consumer,38.0,Electronics ,Women,3.0,4921.4,14764.2,6482.37,5328.98,Cash,5.0,2025-06-05
ORD-10827-008806,CUST_00643,2023-04-30,Central,Indore,market place,Consumer,50.0,Sports,Cycling,10.0,24958.73,249587.3,148856.61,100730.65,Credit Card,4.4,2023-05-02
ORD-8518-006497,CUST_00270,2023-06-06,South,Hyderabad,Online,Consumer,38.0,Grocery,Staples,4.0,,1803.93,1516.63,287.3,Debit Card,3.5,2023-06-09
ORD-7850-005829,CUST_01033,2024-12-21,South,Chennai,Phone,Consumer,34.0,Beauty,Skincare,10.0,5146.17,51461.7,28104.5,15637.91,UPI,3.9,2024-12-28
ORD-8594-006573,CUST_00237,2023-04-30,North,Jaipur,Store,Small business,51.0,Grocery,Snacks,5.0,1120.19,5600.95,2556.21,2764.71,UPI,3.7,2023-05-04
ORD-11913-009892,CUST_01185,2024-09-15,North,Jaipur,Marketplace,Consumer,26.0,Grocery,Snacks,4.0,133.44,533.76,307.62,226.14,Credit Card,3.9,2024-09-20
ORD-8535-006514,CUST_00390,2024-12-05,West,Pune,Online,Small Business,26.0,Beauty,Personal Care,3.0,7860.08,23580.24,12633.48,10946.74,UPI,5.0,2024-12-07
ORD-11321-009300,CUST_00689,2023-08-28,North,Jaipur,Store,Consumer,41.0,Beauty,Personal Care,12.0,4769.47,57233.64,35271.02,10515.86,Wallet,5.0,2023-09-07
ORD-10263-008242,CUST_00969,2023-09-26,West,Ahmedabad,Phone,Small Business,49.0,Beauty,Skincare,4.0,5784.3,23137.2,16683.41,2983.21,UPI,4.2,2023-09-30
ORD-3780-001759,CUST_00563,2025-05-25,North,Jaipur,Store,Consumer,31.0,,Men,3.0,7940.28,23820.84,19363.87,3265.93,Cash,5.0,2025-05-28
ORD-11991-009970,CUST_00618,2022-09-01,North,Jaipur,Marketplace,Small Business,29.0,Electronics,Laptops,3.0,2680.21,8040.63,4368.76,2465.79,Cash,4.3,2022-09-05
ORD-5642-003621,CUST_01156,2022-10-10,West,Mumbai,Online,Corporate,49.0,Furniture,Storage,3.0,10766.57,32299.71,16117.62,16182.08,Credit Card,3.0,2022-10-15
ORD-7279-005258,CUST_00188,2023-08-23,East,Bhubaneswar,,Consumer,23.0,Home Appliances,Cooling,2.0,13414.25,26828.5,15661.9,8483.75,Credit Card,3.5,2023-08-26
ORD-4341-002320,CUST_01185,2023-05-09,South,Hyderabad,Marketplace,Small Business,23.0,Electronics,Audio,4.0,56791.94,227167.76,116824.73,42192.7,UPI,3.7,2023-05-11
ORD-5350-003329,CUST_01188,2024-05-07,North,Delhi,Online,Small Business,48.0,,Chairs,3.0,31256.3,93768.9,60414.35,33354.56,Cash,5.0,2024-05-09
ORD-5072-003051,CUST_01117,2025-06-04,South,Bengaluru,Store,Consumer,14.0,Office Supplies,Organizers,3.0,17.936666666666667,53.81,37.26,16.55,,3.6,2025-06-11
ORD-6777-004756,CUST_00566,2023-12-08,Central,Bhopal,Online,Consumer,49.0,office supplies,Organizers,3.0,1367.92,4103.76,2870.58,1233.17,Debit Card,4.1,2023-12-10
ORD-5043-003022,CUST_01109,2022-06-08,East,Bhubaneswar,Marketplace,,46.0,,Storage,1.0,32157.28,32157.28,24837.51,4104.04,Debit Card,3.5,2022-06-10
ORD-5665-003644,CUST_00872,2024-07-14,East,Kolkata,Online,Small Business,23.0,Electronics,Phones,3.0,83484.05,250452.15,170474.03,79978.11,Wallet,3.9,2024-07-17
ORD-9593-007572,CUST_00320,2023-02-25,East,Guwahati,Online,Small Business,41.0,Office Supplies,Organizers,1.0,736.34,736.34,461.31,201.39,UPI,2.9,2023-02-27
ORD-2053-000032,CUST_00270,2023-06-18,North,Jaipur,Online,Small Business,26.0,Office Supplies,Organizers,3.0,407.91,1223.73,788.3,435.43,Credit Card,3.1,2023-06-22
ORD-2057-000036,CUST_01184,2023-06-26,Central,Nagpur,Phone,Consumer,36.0,electronics,Women,1.0,11270.79,11270.79,7193.61,2950.11,UPI,3.8,2023-06-28
ORD-6825-004804,CUST_00538,2024-06-12,North,Delhi,Phone,Corporate,37.0,Home appliances,Packaged Food,4.0,1544.12,6176.48,4524.6,1651.87,Credit Card,5.0,2024-06-13
ORD-8412-006391,CUST_00345,2024-05-16,North,Jaipur,Online,Small Business,32.0,Beauty,Cosmetics,1.0,3204.44,3204.44,1349.04,1214.52,Cash,2.1,2024-05-20
ORD-6126-004105,CUST_00161,2024-06-25,South,Chennai,Online,Consumer,48.0,Office Supplies,Paper,3.0,2441.59,7324.77,4074.85,2517.44,UPI,3.6,2024-06-30
ORD-11958-009937,CUST_00861,2024-12-23,East,Kolkata,Store,Consumer,15.0,Grocery,Snacks,1.0,113.26,113.26,88.79,18.8,Credit Card,4.3,2024-12-27
ORD-6790-004769,CUST_00088,2023-10-08,West,Ahmedabad,Marketplace,Consumer,35.0,Grocery,Snacks,6.0,1186.82,7120.92,4511.04,1897.82,UPI,4.0,2023-10-11
ORD-6396-004375,CUST_00359,2022-02-19,East,Bhubaneswar,Online,Small Business,48.0,Furniture,Desks,1.0,41193.01,41193.01,33535.78,7657.23,Credit Card,4.6,2022-02-21
ORD-5986-003965,CUST_00828,2024-06-30,North,Chandigarh,Store,Consumer,30.0,Office Supplies,Pens,2.0,626.02,1252.04,1066.78,185.26,UPI,3.8,2024-07-04
ORD-2395-000374,CUST_00284,2024-10-24,West,Pune,Phone,Consumer,32.0,Sports,Cycling,5.0,17223.24,86116.2,50510.25,35605.92,Wallet,4.2,2024-10-27
ORD-9037-007016,CUST_00402,2022-03-27,Central,Indore,Phone,Corporate,52.0,Office Supplies,Pens,6.0,913.2983333333333,5479.79,3482.77,1997.02,UPI,3.7,2022-03-29
ORD-7551-005530,CUST_00061,2024-04-04,South,Hyderabad,Online,Corporate,40.0,Clothing,Footwear,6.0,10958.27,65749.62,39807.22,25942.4,Cash,4.8,2024-04-05
ORD-11138-009117,CUST_00205,2023-06-11,West,Pune,Phone,Corporate,38.0,Sports,Fitness,1.0,24976.26,24976.26,13191.15,11785.12,UPI,2.7,2023-06-15
ORD-11557-009536,CUST_00210,2024-09-18,East,Kolkata,Online,Consumer,35.0,Sports,Outdoor,1.0,2472.47,2472.47,1909.07,563.39,Credit Card,4.7,2024-09-20
ORD-8711-006690,CUST_00412,2025-02-04,North,Chandigarh,Online,Corporate,44.0,Grocery,,6.0,2174.22,13045.32,8747.5,2341.01,Credit Card,4.3,2025-02-11
ORD-10161-008140,CUST_00454,2022-08-31,South,Chennai,Marketplace,Consumer,32.0,Sports,,3.0,12802.63,38407.89,31955.27,4532.23,Debit Card,4.0,2022-09-02
ORD-6162-004141,CUST_00741,2025-03-21,South,Hyderabad,Online,small_business,33.0,Grocery,Packaged Food,2.0,1374.64,2749.28,1530.61,1218.67,Credit Card,4.0,2025-03-28
ORD-5485-003464,CUST_00965,2024-07-14,East,Bhubaneswar,Marketplace,Consumer,31.0,Grocery,Snacks,5.0,1678.57,8392.85,4334.43,3219.13,Wallet,4.2,2024-07-17
ORD-4496-002475,CUST_00818,,East,Kolkata,Online,Consumer,49.0,Office Supplies,Organizers,4.0,1768.86,7075.44,5236.18,777.94,UPI,4.1,2025-02-22
ORD-2787-000766,CUST_00948,2022-07-22,East,Kolkata,Online,Small Business,22.0,Electronics,Laptops,1.0,15259.96,15259.96,10473.95,4786.01,UPI,3.0,2022-07-24
ORD-7084-005063,CUST_00025,2024-11-17,East,Bhubaneswar,Phone,Consumer,37.0,Furniture,Tables,2.0,27079.49,54158.98,30152.87,10466.36,UPI,3.1,2024-11-19
ORD-3680-001659,CUST_00240,2024-09-18,South ,Hyderabad,Online,Consumer,27.0,Clothing,Kids,1.0,6551.03,6551.03,4608.08,1615.4,Net Banking,4.1,2024-09-28
ORD-3377-001356,CUST_00435,2022-07-10,Central,Indore,e-commerce,Consumer,25.0,office supplies,Fitness,5.0,3798.11,18990.55,15415.32,3575.21,Wallet,4.7,2022-07-13
ORD-9611-007590,CUST_00867,2022-05-07,North,Delhi,Marketplace,Consumer,36.0,Beauty,Cosmetics,1.0,5752.6,5752.6,2948.89,2803.71,Net Banking,4.1,2022-05-17
ORD-2102-000081,CUST_00753,2022-02-28,Central,Bhopal,Online,Consumer,32.0,Grocery,Snacks,6.0,1697.3,10183.8,8064.9,2118.91,Credit Card,4.8,2022-03-10
ORD-4775-002754,CUST_00814,2023-06-12,South,Hyderabad,Marketplace,Consumer,45.0,,,3.0,74.09,222.27,182.13,40.13,UPI,3.7,2023-06-16
ORD-7927-005906,CUST_00691,2025-03-19,West,Pune,Store,Corporate,59.0,Beauty,Skincare,2.0,1157.04,2314.08,1346.83,967.25,UPI,4.5,2025-03-29
ORD-6211-004190,CUST_00290,2025-06-08,West,Mumbai,Store,Consumer,49.0,Furniture,Desks,1.0,25350.46,25350.46,16434.87,2577.98,Debit Card,4.5,2025-06-13
ORD-7986-005965,CUST_00150,2024-07-11,East,Guwahati,Online,Small Business,31.0,Electronics,,1.0,49410.63,49410.63,27499.13,21911.5,Credit Card,3.0,2024-07-16
ORD-5029-003008,CUST_00025,2022-05-27,North,Chandigarh,Store,Small Business,31.0,Electronics,Audio,3.0,79151.41,237454.23,119945.7,58144.98,UPI,4.0,2022-06-03
ORD-2337-000316,CUST_01057,2022-03-09,West,Ahmedabad,Online,Corporate,38.0,Clothing,Women,2.0,7428.81,14857.62,9726.91,5130.72,Wallet,3.4,2022-03-11
ORD-9304-007283,CUST_01088,2024-03-10,North,Jaipur,Online,Small Business,51.0,Office Supplies,Organizers,1.0,2448.51,2448.51,1929.95,518.56,Credit Card,3.7,2024-03-14
ORD-6945-004924,CUST_00792,2023-04-06,Central,Indore,Store,Consumer,42.0,Grocery,Beverages,1.0,2203.12,2203.12,1201.94,340.25,Wallet,2.8,2023-04-11
ORD-9910-007889,CUST_00562,2022-04-12,South,Chennai,Online,Consumer,36.0,Home Appliances,Small Appliances,12.0,38533.36,462400.32,306540.73,132739.54,Credit Card,2.8,2022-04-14
ORD-8848-006827,CUST_00369,2022-04-25,North,Delhi,Store,Corporate,39.0,Grocery,Snacks,1.0,2049.11,2049.11,1055.68,788.52,Credit Card,4.1,2022-04-26
ORD-6805-004784,CUST_00879,2025-05-18,South,Hyderabad,Store,Consumer,41.0,Grocery,Snacks,2.0,1883.33,3766.66,2791.31,787.03,Debit Card,4.0,2025-05-21
ORD-5206-003185,CUST_00978,2022-07-14,East,Bhubaneswar,Online,,47.0,Clothing,Men,2.0,261.94,523.88,256.89,266.99,Net Banking,3.8,2022-07-19
